Naturalidade,lat,lon
Uster - Zurich,47.4236986,8.6301009
Campo Mourão,-24.046329,-52.37802
Iporá,-16.4407981,-51.1181188
Realeza,-25.7720262,-53.5338306
Santa Teresa,-22.9215542,-43.1860269
Divino,-20.6151497,-42.1474733
Jussara,-11.0473921,-41.97167
Edéia,-17.3407253,-49.9292351
Divinolandia de Minas,-18.8021453,-42.6153788
São Gabriel do Oeste,-19.3944843,-54.5755213
Pimenta Bueno,-11.6767868,-61.1863902
Ananas,-6.3663053,-48.080238
Mar de Espanha,-21.866945,-43.01
Alfenas,-21.4297405,-45.9479419
Canarana,-11.6870151,-41.7683675
Iapu,-19.436389,-42.217223
Anhembi,-22.7891096,-48.1316776
São Gonçalo do Rio Abaixo,-19.8252042,-43.362126
Itapetininga,-23.588607,-48.048326
Santa Cruz do Rio Pardo,-22.9060715,-49.6277378
San Diego,-29.5992823,-51.9260001
